"","gene_num_1","gene_num_2","result"
"1",3,50,0.166666666666667
"2",5,50,0.166666666666667
"3",17,50,0.166666666666667
"4",50,61,0.166666666666667
"5",50,65,0.166666666666667
"6",50,67,0.166666666666667
"7",50,69,0.166666666666667
"8",3,65,0.183333333333333
"9",3,67,0.183333333333333
"10",8,50,0.183333333333333
"11",23,50,0.183333333333333
"12",24,50,0.183333333333333
"13",50,66,0.183333333333333
"14",2,50,0.2
"15",13,50,0.2
"16",50,53,0.2
"17",4,50,0.216666666666667
"18",15,50,0.216666666666667
"19",25,50,0.216666666666667
"20",50,52,0.216666666666667
