"","gene_num_1","gene_num_2","result"
"1",58,67,0.1
"2",61,67,0.1
"3",4,24,0.116666666666667
"4",22,67,0.116666666666667
"5",24,67,0.116666666666667
"6",34,67,0.116666666666667
"7",51,67,0.116666666666667
"8",2,5,0.133333333333333
"9",5,23,0.133333333333333
"10",5,24,0.133333333333333
"11",6,13,0.133333333333333
"12",10,45,0.133333333333333
"13",10,67,0.133333333333333
"14",13,18,0.133333333333333
"15",13,20,0.133333333333333
"16",13,21,0.133333333333333
"17",13,51,0.133333333333333
"18",13,63,0.133333333333333
"19",13,64,0.133333333333333
"20",13,68,0.133333333333333
