"","gene_num_1","gene_num_2","gene_num_3","result"
"1",13,21,34,0.0667
"2",3,58,67,0.0833
"3",3,61,67,0.0833
"4",5,23,61,0.0833
"5",11,21,67,0.0833
"6",13,17,21,0.0833
"7",13,21,39,0.0833
"8",13,21,60,0.0833
"9",13,21,61,0.0833
"10",14,61,67,0.0833
"11",21,24,67,0.0833
"12",51,58,67,0.0833
"13",51,61,67,0.0833
"14",58,61,67,0.0833
"15",2,3,5,0.1
"16",2,15,43,0.1
"17",2,25,67,0.1
"18",3,4,57,0.1
"19",3,5,61,0.1
"20",3,17,65,0.1
