"","gene_num","result"
"1",13,0.133
"2",67,0.15
"3",5,0.2
"4",50,0.2
"5",65,0.2
"6",4,0.233
"7",53,0.233
"8",69,0.233
"9",15,0.25
"10",22,0.25
"11",26,0.25
"12",10,0.267
"13",24,0.267
"14",41,0.267
"15",12,0.283
"16",34,0.283
"17",3,0.3
"18",37,0.3
"19",52,0.3
"20",8,0.317
